id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
BOR088C2-1_1241,"RAIDER","Material: Metal 
 
Marco: Completo 
 
Forma: Aviador 
 
  
   

  

 
  
   
    
 Ancho: 137.00 mm 
 
 Luna: 55.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 45.00 mm 
 
  
   

  

 
  
   
    
 Puente: 16.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/09/3627C1.jpg,https://opticasoliva.pe/product/raider-5/,"Hombre, Oftalmicos","Ópticas Oliva",199PEN,in stock,BOR088C2-1_1241,https://opticasoliva.pe/cart/?add-to-cart=1241,"https://opticasoliva.pe/wp-content/uploads/2020/09/3627C1-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199PEN,new,published,,
ZA448C5-1-2_1204,"BACK BACK","Material: Acetato 
 
Marco: Completo 
 
Forma: Cuadrado 
 
  
   

  

 
  
   
    
 Ancho: 138.00 mm 
 
 Luna: 52.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 43.00 mm 
 
  
   

  

 
  
   
    
 Puente: 16.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/BTB054C07.jpg,https://opticasoliva.pe/product/back-back/,"Hombre, Oftalmicos","Ópticas Oliva",199PEN,in stock,ZA448C5-1-2_1204,https://opticasoliva.pe/cart/?add-to-cart=1204,"https://opticasoliva.pe/wp-content/uploads/2020/08/BTB054C07-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/BTB054C07-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199PEN,new,published,,
ZA448C5-1-1_1200,"LENTES ZETTI","Material: Acetato 
 
Marco: Completo 
 
Forma: Redondo 
 
  
   

  

 
  
   
    
 Ancho: 139.00 mm 
 
 Luna: 50.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 44.00 mm 
 
  
   

  

 
  
   
    
 Puente: 19.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/ZA408C1.jpg,https://opticasoliva.pe/product/lentes-zetti-2/,"Mujer, Oftalmicos","Ópticas Oliva",199PEN,in stock,ZA448C5-1-1_1200,https://opticasoliva.pe/cart/?add-to-cart=1200,"https://opticasoliva.pe/wp-content/uploads/2020/08/ZA408C1-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/ZA408C1-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199PEN,new,published,,
ZA448C5-1_1196,"LENTES ZETTI","Material: Acetato 
 
Marco: Completo 
 
Forma: Cuadrado 
 
  
   

  

 
  
   
    
 Ancho: 139.00 mm 
 
 Luna: 51.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 43.00 mm 
 
  
   

  

 
  
   
    
 Puente: 20.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/ZA447C1.jpg,https://opticasoliva.pe/product/lentes-zetti/,"Hombre, Oftalmicos","Ópticas Oliva",199PEN,in stock,ZA448C5-1_1196,https://opticasoliva.pe/cart/?add-to-cart=1196,"https://opticasoliva.pe/wp-content/uploads/2020/08/ZA447C1-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/ZA447C1-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199PEN,new,published,,
ZA448C5_1192,"LENTES ZETTI","Material: Acetato 
 
Marco: Completo 
 
Forma: Cuadrado 
 
  
   

  

 
  
   
    
 Ancho: 137.00 mm 
 
 Luna: 53.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 41.00 mm 
 
  
   

  

 
  
   
    
 Puente: 17.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/ZA448C5.jpg,https://opticasoliva.pe/product/lentes-zetty/,"Hombre, Oftalmicos","Ópticas Oliva",199PEN,in stock,ZA448C5_1192,https://opticasoliva.pe/cart/?add-to-cart=1192,"https://opticasoliva.pe/wp-content/uploads/2020/08/ZA448C5-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/ZA448C5-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199PEN,new,published,,
MS328C2-1-1-1_1179,"LENTES FASHION","Material: Carey 
 
Marco: Completo 
 
Forma: Agatada 
 
  
   

  

 
  
   
    
 Ancho: 137.00 mm 
 
 Luna: 54.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 49.00 mm 
 
  
   

  

 
  
   
    
 Puente: 17.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/92200C2.jpg,https://opticasoliva.pe/product/lentes-fashion-4/,"Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,MS328C2-1-1-1_1179,https://opticasoliva.pe/cart/?add-to-cart=1179,"https://opticasoliva.pe/wp-content/uploads/2020/08/92200C2-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/92200C2-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99PEN,new,published,,
MS328C2-1-1_1170,"LENTES FASHION","Material: Carey 
 
Marco: Completo 
 
Forma: Agatada 
 
  
   

  

 
  
   
    
 Ancho: 136.00 mm 
 
 Luna: 54.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 43.00 mm 
 
  
   

  

 
  
   
    
 Puente: 17.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/95554-1.jpg,https://opticasoliva.pe/product/lentes-fashion-3/,"Mujer, Oftalmicos","Ópticas Oliva",119PEN,in stock,MS328C2-1-1_1170,https://opticasoliva.pe/cart/?add-to-cart=1170,"https://opticasoliva.pe/wp-content/uploads/2020/08/95554-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/95554-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119PEN,new,published,,
93328C4_1168,"LENTES FASHION","color: azul",https://opticasoliva.pe/wp-content/uploads/2020/08/93328C4.jpg,https://opticasoliva.pe/product/lentes-fashion-2/?attribute_pa_color=azul,"Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,MS328C2-1_1149,https://opticasoliva.pe/cart/?add-to-cart=1149&variation_id=1168&attribute_pa_color=azul,"https://opticasoliva.pe/wp-content/uploads/2020/08/93328C4-2.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99PEN,new,published,default,"color:AZUL/TRANSPARENTE:AZUL"
93328C3_1167,"LENTES FASHION","color: transparente",https://opticasoliva.pe/wp-content/uploads/2020/08/93328C3.jpg,https://opticasoliva.pe/product/lentes-fashion-2/?attribute_pa_color=transparente,"Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,MS328C2-1_1149,https://opticasoliva.pe/cart/?add-to-cart=1149&variation_id=1167&attribute_pa_color=transparente,"https://opticasoliva.pe/wp-content/uploads/2020/08/93328C4.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/93328C4-2.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99PEN,new,published,,"color:AZUL/TRANSPARENTE:TRANSPARENTE"
MS238C2_1125,"LENTES FASHION","color: marron",https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2.jpg,https://opticasoliva.pe/product/lentes-fashion/?attribute_pa_color=marron,"Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,MS328C2_1111,https://opticasoliva.pe/cart/?add-to-cart=1111&variation_id=1125&attribute_pa_color=marron,"https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99PEN,new,published,default,"color:MARRON/NEGRO/ROJO VINO:MARRON"
MS238C5_1124,"LENTES FASHION","color: rojo vino",https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-4.jpg,https://opticasoliva.pe/product/lentes-fashion/?attribute_pa_color=rojo-vino,"Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,MS328C2_1111,https://opticasoliva.pe/cart/?add-to-cart=1111&variation_id=1124&attribute_pa_color=rojo-vino,"https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99PEN,new,published,,"color:MARRON/NEGRO/ROJO VINO:ROJO VINO"
MS238C1_1123,"LENTES FASHION","color: negro",https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-5.jpg,https://opticasoliva.pe/product/lentes-fashion/?attribute_pa_color=negro,"Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,MS328C2_1111,https://opticasoliva.pe/cart/?add-to-cart=1111&variation_id=1123&attribute_pa_color=negro,"https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS5C2-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,99PEN,new,published,,"color:MARRON/NEGRO/ROJO VINO:NEGRO"
MS6C1_1109,"LENTES COLORS","color: marron",https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C6.jpg,https://opticasoliva.pe/product/lentes-colors-7/?attribute_pa_color=marron,"Mujer, Oftalmicos","Ópticas Oliva",119PEN,in stock,MS-6_1099,https://opticasoliva.pe/cart/?add-to-cart=1099&variation_id=1109&attribute_pa_color=marron,"https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C1.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C1-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C1-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,69PEN,new,published,,"color:MORADO/MARRON:MARRON"
MS6C6_1108,"LENTES COLORS","color: morado",https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C1.jpg,https://opticasoliva.pe/product/lentes-colors-7/?attribute_pa_color=morado,"Mujer, Oftalmicos","Ópticas Oliva",119PEN,in stock,MS-6_1099,https://opticasoliva.pe/cart/?add-to-cart=1099&variation_id=1108&attribute_pa_color=morado,"https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C1-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/MS-6C1-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,69PEN,new,published,default,"color:MORADO/MARRON:MORADO"
VNG2309_1087,"RAIDER","Material: Metal/Acetato 
 
Marco: Completo 
 
Forma: Redondo 
 
  
   

  

 
  
   
    
 Ancho: 137.00 mm 
 
 Luna: 50.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 46.00 mm 
 
  
   

  

 
  
   
    
 Puente: 20.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/VNGG2309.jpg,https://opticasoliva.pe/product/raider-4/,"Hombre, Mujer, Oftalmicos","Ópticas Oliva",149PEN,in stock,VNG2309_1087,https://opticasoliva.pe/cart/?add-to-cart=1087,"https://opticasoliva.pe/wp-content/uploads/2020/08/VNGG2309-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149PEN,new,published,,
1913_912,"TRIBBU","Material: Metal 
 
Marco: Completo 
 
Forma: Redondo 
 
  
   

  

 
  
   
    
 Ancho: 134.00 mm 
 
 Luna: 50.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 45.00 mm 
 
  
   

  

 
  
   
    
 Puente: 18.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/2006-4.jpg,https://opticasoliva.pe/product/tribbu-5/,"Hombre, Mujer, Oftalmicos","Ópticas Oliva",199PEN,in stock,1913_912,https://opticasoliva.pe/cart/?add-to-cart=912,"https://opticasoliva.pe/wp-content/uploads/2020/08/2006-42.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,149PEN,new,published,,
8816_910,"ROUND","Material: Metal 
 
Marco: Completo 
 
Forma: Redondo 
 
  
   

  

 
  
   
    
 Ancho: 134.00 mm 
 
 Luna: 49.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 47.00 mm 
 
  
   

  

 
  
   
    
 Puente: 21.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/8816.jpg,https://opticasoliva.pe/product/round/,"Hombre, Mujer, Oftalmicos","Ópticas Oliva",199PEN,in stock,8816_910,https://opticasoliva.pe/cart/?add-to-cart=910,"https://opticasoliva.pe/wp-content/uploads/2020/08/8816-1.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/2006-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,149PEN,new,published,,
F225-1_900,"TRIBBU","Material: Metal 
 
Marco: Completo 
 
Forma: Redondo 
 
  
   

  

 
  
   
    
 Ancho: 134.00 mm 
 
 Luna: 50.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 45.00 mm 
 
  
   

  

 
  
   
    
 Puente: 18.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/2006-33.jpg,https://opticasoliva.pe/product/tribbu-4/,"Hombre, Mujer, Oftalmicos","Ópticas Oliva",199PEN,in stock,F225-1_900,https://opticasoliva.pe/cart/?add-to-cart=900,"https://opticasoliva.pe/wp-content/uploads/2020/08/2006-34.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/2006-3.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,149PEN,new,published,,
TR903-1-1_898,"AGATA","Material: Carey 
 
Marco: Completo 
 
Forma: Agatada 
 
  
   

  

 
  
   
    
 Ancho: 139.00 mm 
 
 Luna: 51.00 mm 
 
  
   

  

 
  
   
    
 Largo: 145.00 mm 
 
 Alto: 49.00 mm 
 
  
   

  

 
  
   
    
 Puente: 16.00 mm",https://opticasoliva.pe/wp-content/uploads/2020/08/TR908.jpg,https://opticasoliva.pe/product/agata-4/,"Mujer, Oftalmicos","Ópticas Oliva",119PEN,in stock,TR903-1-1_898,https://opticasoliva.pe/cart/?add-to-cart=898,"https://opticasoliva.pe/wp-content/uploads/2020/08/TR908-1.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/TR908-2.jpg,https://opticasoliva.pe/wp-content/uploads/2020/08/TR908-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119PEN,new,published,,
